"event","action","type","label","date","hour"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-22","10:57:15"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-22","10:58:38"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-22","10:59:28"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-22","10:59:30"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-22","11:06:07"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-22","11:06:09"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-22","11:18:08"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-22","11:18:27"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-22","11:19:27"
"onClick","Open","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-22","11:19:29"
"onClick","Close","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-22","11:20:58"
"onClick","Open","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-22","11:21:03"
"onClick","Close","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-22","11:21:27"
"onClick","Open","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-22","11:21:28"
"onClick","Close","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-22","11:21:40"
"onClick","Open","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-22","11:21:41"
"onClick","Close","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-22","11:21:43"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-22","11:21:44"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-22","11:24:05"
"onClick","Open","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-22","11:24:09"
"onClick","Close","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-22","11:27:11"
"onClick","Open","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-22","11:27:12"
"onClick","Close","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-22","11:27:20"
"onClick","Open","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-22","11:27:21"
"onClick","Close","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-22","11:27:24"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-22","11:27:25"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-22","11:27:56"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-22","11:27:59"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-22","11:28:00"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-22","11:28:21"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-22","11:28:27"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-22","11:28:31"
"onClick","Navigate","Navigation","Navigation: /second-level/Chronic Hepatitis B","2023-03-22","11:28:37"
"onClick","Open","mp4","Chronic Hepatitis B Functional Cure","2023-03-22","11:28:39"
"onClick","Close","mp4","Chronic Hepatitis B Functional Cure","2023-03-22","11:28:43"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-22","11:28:44"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-22","11:28:46"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-22","11:28:52"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-22","11:28:54"
"onClick","Navigate","Navigation","Category: Chronic Hepatitis B","2023-03-22","11:46:35"
"onClick","Open","mp4","Chronic Hepatitis B Functional Cure","2023-03-22","11:46:39"
"onClick","Close","mp4","Chronic Hepatitis B Functional Cure","2023-03-22","11:47:00"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-22","11:54:15"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-22","11:56:25"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-22","11:56:26"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-22","11:56:32"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-22","11:57:03"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-22","11:57:04"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-22","11:57:12"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-22","11:57:13"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-22","11:57:16"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-22","11:58:55"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-22","11:59:24"
