"event","action","type","label","date","hour"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-21","09:11:17"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-21","09:11:20"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-21","09:11:29"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-21","09:11:30"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-21","09:11:33"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-21","09:16:53"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-21","09:16:56"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-21","09:16:59"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-21","09:17:02"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-21","09:17:04"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-21","09:17:07"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-21","09:17:08"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-21","09:17:15"
"onClick","Open","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-21","09:17:15"
"onClick","Close","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-21","09:17:43"
"onClick","Open","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-21","09:17:57"
"onClick","Close","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-21","09:18:12"
"onClick","Navigate","Navigation","Navigation: /second-level/Chronic Hepatitis B","2023-03-21","09:18:23"
"onClick","Open","mp4","Chronic Hepatitis B Functional Cure","2023-03-21","09:18:24"
"onClick","Close","mp4","Chronic Hepatitis B Functional Cure","2023-03-21","09:18:26"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-22","02:18:11"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-22","02:18:14"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-22","02:21:42"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-22","02:21:43"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-22","02:26:30"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-22","02:26:31"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-22","02:27:06"
"onClick","Navigate","Navigation","Navigation: /second-level/Chronic Hepatitis B","2023-03-22","02:27:09"
"onClick","Open","mp4","Chronic Hepatitis B Functional Cure","2023-03-22","02:27:10"
"onClick","Close","mp4","Chronic Hepatitis B Functional Cure","2023-03-22","02:27:33"
"onClick","Open","mp4","Chronic Hepatitis B Functional Cure","2023-03-22","02:27:46"
"onClick","Close","mp4","Chronic Hepatitis B Functional Cure","2023-03-22","02:27:48"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-22","04:00:45"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-22","04:00:47"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-22","05:34:14"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-22","05:34:15"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-22","05:34:38"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-22","05:34:41"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-22","05:34:49"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-22","05:34:51"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-22","05:34:51"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-22","05:35:02"
"onClick","Open","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-22","05:35:03"
"onClick","Close","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-22","05:35:09"
"onClick","Open","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-22","05:35:10"
"onClick","Close","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-22","05:35:12"
"onClick","Navigate","Navigation","Navigation: /second-level/GSK in Hepatology","2023-03-22","05:35:14"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-22","05:35:14"
